LUX,Temperature,Humidity,Moisture,a,b,c,e,y,nony,final
32000,35,25,1000,10.3734911817819,4.89279003035213,0.25,96.7958989043226,681.679697974034,-23714.9565176484,0
15000,25,40,950,9.61580548008435,3.49485002168009,0.4,93.695865314559,527.220288352408,-22816.7750703448,0
19000,23,39,923,9.85219425814858,3.46184495013578,0.39,91.995441933257,592.825059103194,-21600.0432427795,0
9000,28,54,800,9.10497985631836,4.21441993929574,0.54,83.990123098489,466.660639980849,-18196.7794492101,0
7000,26,31,600,8.85366542803745,3.91338994363176,0.31,69.865269145812,498.596743602844,-11913.2523081209,0
15000,30,31,600,9.61580548008435,4.51544993495972,0.31,69.865269145812,663.900265885212,-11148.0868719864,1
30000,36,42,290,10.3089526606443,5.41853992195166,0.42,43.5863472374085,982.104736556701,-1404.89895851753,1
18000,29,32,200,9.7981270368783,4.36493493712773,0.32,34.1116206124148,921.820187872411,214.746306542905,1
12000,31,28,400,9.39266192877014,4.66596493279171,0.28,53.766015803622,708.633292879534,-5423.02728374086,1
14000,27,56,831,9.5468126085974,4.29409129247696,0.56,86.0502769029261,552.753362631673,-18788.5062379229,0
25000,32,58,1100,10.1266311038503,4.8164799306237,0.58,102.820156055235,585.924074246468,-27631.322811099,0
30000,36,26,290,10.3089526606443,5.41853992195166,0.26,43.5863472374085,981.784736556701,-1405.00775851753,1
6000,23,52,679,8.69951474821019,3.46184495013578,0.52,75.6339136450047,434.644130681076,-14563.5781110695,0
11320,29,39,700,9.33432635175717,4.36493493712773,0.39,77.1230559187379,557.407836158106,-14647.7168398977,0
28674,27,42,826,10.2637460678062,4.29409129247696,0.42,85.7200356265763,724.889038618567,-17773.998676784,0
4789,32,55,899,8.47407690034261,4.8164799306237,0.55,90.4676369085312,291.115050720113,-22188.379772569,0
4414,28,25,88,8.39253658681668,4.21441993929574,0.25,19.6257760200907,702.67486857636,1155.76743249566,0
7170,28,50,193,8.87766093359367,4.21441993929574,0.5,33.3141312191796,721.583056871411,-583.832500113472,0
30018,32,54,467,10.3095524807163,4.8164799306237,0.54,59.4436298602794,890.961809486305,-6286.85887554091,1
17667,31,55,879,9.77945377161268,4.66596493279171,0.55,89.182313698718,585.662921064255,-20184.3279236716,0
30291,24,37,609,10.3186059176724,3.61235994796777,0.37,70.536612288852,833.529703589768,-10570.6139174408,1
26596,17,31,699,10.1885161075223,2.55875496314384,0.31,77.0525385991517,768.622564305123,-13600.3159686582,0
9870,33,38,462,9.19725513242753,5.24833380191629,0.38,59.031123942446,630.157277185401,-7424.54648020651,0
22131,27,43,416,10.0047346195524,4.29409129247696,0.43,55.1527623092572,845.315456081639,-5174.93009722655,1
12402,18,24,145,9.42561302890982,2.70926996097583,0.24,27.5242026640058,885.185335899165,1054.8600458667,1
13582,28,27,152,9.51650066567374,4.21441993929574,0.27,28.4080756251427,891.570445650594,973.133889453969,1
16270,26,23,731,9.69707820021308,3.91338994363176,0.23,79.2901819308628,629.638476205606,-15259.2957665471,0
17943,28,52,565,9.79495534571267,4.21441993929574,0.52,67.2168764829168,723.746024160787,-9848.38192957192,0
16566,24,39,893,9.71510768115821,3.61235994796777,0.39,90.0832175450421,571.206342119932,-20716.177221176,0
30100,29,31,869,10.312280450737,4.36493493712773,0.31,88.5353942771589,719.33556185011,-19186.0493467692,0
13811,28,21,106,9.53322065507793,4.21441993929574,0.21,22.2789296929826,932.047454907184,1923.31189679077,1
27470,29,37,838,10.2208497790893,4.36493493712773,0.37,86.511322840103,709.071695817133,-18238.7322322911,1
5248,36,35,282,8.56560233062392,5.41853992195166,0.35,42.7936590881951,591.861325375799,-3068.03367524448,0
32223,22,42,325,10.3804357622662,3.31132995230379,0.42,46.9622399659108,992.239939865133,-2174.9633430266,1
24233,18,22,764,10.0954706196007,2.70926996097583,0.22,81.5584554435035,717.855971947775,-15861.6550132075,0
28567,34,24,908,10.2600074844611,5.11750992628768,0.24,91.0424009949355,686.733577447034,-20624.4737018429,0
28634,35,37,838,10.2623501019203,4.89279003035213,0.37,86.511322840103,716.105278149872,-18201.156562369,0
5051,32,43,609,8.52734152246805,4.8164799306237,0.43,70.536612288852,421.328087972838,-12515.3701235896,0
28546,18,33,629,10.2592721001897,2.70926996097583,0.33,72.0149861600851,815.346431582404,-11261.1233480368,0
4493,26,27,216,8.41027590907016,3.91338994363176,0.27,35.8967072379253,610.472307310889,-1532.06426815435,1
31733,17,45,773,10.3651124278545,2.55875496314384,0.45,82.1704571600131,781.751394965824,-15821.0648186248,0
28260,28,46,138,10.2492026562385,4.21441993929574,0.46,26.6246229835592,1076.43960352663,2126.87327372457,1
31927,22,30,693,10.371207325767,3.31132995230379,0.3,76.6286143807225,811.703630730359,-13186.449565649,0
11078,31,25,910,9.31271643859305,4.66596493279171,0.25,91.1698250129841,466.20550991304,-21770.4179728526,0
11819,35,33,517,9.37746368501224,4.89279003035213,0.33,63.4801155516643,645.664468472581,-8862.38695600895,0
20215,36,31,153,9.91418018207487,5.41853992195166,0.31,28.53311775103,976.401678153863,1367.49544472195,1
23164,25,40,390,10.0503546283457,3.49485002168009,0.4,52.8886147890202,874.614749001916,-4367.36831756539,1
32822,34,25,666,10.3988543012396,5.11750992628768,0.25,74.7031596563999,819.210031844786,-12322.2212730111,0
30271,36,27,631,10.3179454374793,5.41853992195166,0.27,72.1618223923963,812.577802723511,-11316.2008529834,1
12077,38,30,107,9.39905809627538,5.71956991761564,0.3,22.421364849,891.861908566223,1715.13413551017,1
29332,30,42,882,10.2864343492137,4.51544993495972,0.42,89.375831176016,707.221092782347,-19671.4484825228,0
18064,23,26,788,9.80167628638944,3.46184495013578,0.26,83.1843665739558,633.51702713348,-17028.1018213017,1
11182,21,49,524,9.32206062158659,3.33984878303764,0.49,64.0330798797646,639.552198813611,-9093.5509929819,0
5765,38,25,823,8.65956043270316,5.71956991761564,0.25,85.5215187284589,352.90931077521,-19442.4164202729,0
25071,28,22,738,10.1294670786695,4.21441993929574,0.22,79.774585122516,727.77920920332,-14987.8083189784,0
30074,24,44,103,10.3114162900823,3.61235994796777,0.44,21.8486928587852,1124.01735404798,2914.40799343151,1
5979,38,47,60,8.6960086088809,5.71956991761564,0.47,15.0710378021563,783.643142390137,1851.06028080804,0
5311,24,36,780,8.5775354204224,3.61235994796777,0.36,82.6445539378254,366.067883348452,-18005.0464483048,0
17204,28,26,981,9.75289719390363,4.21441993929574,0.26,95.6251643614416,542.910538293816,-23774.9891276228,0
29248,29,30,836,10.2835664742539,4.36493493712773,0.3,86.3797483864832,725.15277322312,-18091.4305961506,0
22912,32,53,897,10.0394160697604,4.8164799306237,0.53,90.3396082501135,639.601971176737,-20505.5630292677,0
23229,18,21,140,10.0531567770548,2.70926996097583,0.21,26.8833082070217,1035.65606520053,1874.01469880217,1
11697,36,40,915,9.36708767765071,5.41853992195166,0.4,91.4879094776691,472.269282331825,-21910.474015354,1
18320,32,22,794,9.81574863822812,4.8164799306237,0.22,83.5878344476602,626.201169676823,-17247.3780664,0
25780,17,35,236,10.1573542764932,2.55875496314384,0.35,38.0605662278035,995.046223632652,-173.527325036387,1
5557,35,29,987,8.62281367327992,4.89279003035213,0.29,95.9958173845795,287.483343239648,-25152.7995981871,0
23894,31,21,856,10.0813826603772,4.66596493279171,0.21,87.6900600295653,665.895166365307,-19035.4533452524,1
17199,18,32,320,9.75260652157649,2.70926996097583,0.32,46.4886499676856,846.812488004387,-2795.0900741664,1
