LUX,"Temperature
(Celsius)","Humidity
(in %)",Moisture,a,b,c,e,y,Y,
32000,35,25,1000,10.3734911817819,4.89279003035213,0.25,96.7958989043226,681.679697974034,-23714.9565176484,0
15000,25,40,950,9.61580548008435,3.49485002168009,0.4,93.695865314559,527.220288352408,-22816.7750703448,0
19000,23,39,923,9.85219425814858,3.46184495013578,0.39,91.995441933257,592.825059103194,-21600.0432427795,0
9000,28,54,800,9.10497985631836,4.21441993929574,0.54,83.990123098489,466.660639980849,-18196.7794492101,0
7000,26,31,600,8.85366542803745,3.91338994363176,0.31,69.865269145812,498.596743602844,-11913.2523081209,0
15000,30,31,600,9.61580548008435,4.51544993495972,0.31,69.865269145812,663.900265885212,-11148.0868719864,1
30000,36,42,290,10.3089526606443,5.41853992195166,0.42,43.5863472374085,982.104736556701,-1404.89895851753,1
18000,29,32,200,9.7981270368783,4.36493493712773,0.32,34.1116206124148,921.820187872411,214.746306542905,1
12000,31,28,400,9.39266192877014,4.66596493279171,0.28,53.766015803622,708.633292879534,-5423.02728374086,1
14000,27,56,831,9.5468126085974,4.29409129247696,0.56,86.0502769029261,552.753362631673,-18788.5062379229,0
25000,32,58,1100,10.1266311038503,4.8164799306237,0.58,102.820156055235,585.924074246468,-27631.322811099,0
30000,36,26,290,10.3089526606443,5.41853992195166,0.26,43.5863472374085,981.784736556701,-1405.00775851753,1
6000,23,52,679,8.69951474821019,3.46184495013578,0.52,75.6339136450047,434.644130681076,-14563.5781110695,0
11320,29,39,700,9.33432635175717,4.36493493712773,0.39,77.1230559187379,557.407836158106,-14647.7168398977,0
28674,27,42,826,10.2637460678062,4.29409129247696,0.42,85.7200356265763,724.889038618567,-17773.998676784,0
28113,36,35,110,10.2439873817919,5.41853992195166,0.35,22.8458223403344,1090.38515616602,2646.23251749302,1
32551,18,50,910,10.390563369131,2.70926996097583,0.5,91.1698250129841,733.291115691364,-20470.3622917173,0
32896,23,38,211,10.4011063488148,3.46184495013578,0.38,35.3442920311087,1066.1193374648,717.426456098059,1
14021,32,35,108,9.54831148472113,4.8164799306237,0.35,22.5633214775564,930.464218062009,1885.30449987332,1
10163,36,23,61,9.22650895313777,5.41853992195166,0.23,15.2451947092087,898.019201761015,2356.47755900999,1
26037,32,30,402,10.1672738823124,4.8164799306237,0.3,53.9404943513152,888.539652683789,-4594.13118271771,1
13559,31,24,428,9.51480581246231,4.66596493279171,0.24,56.1795785898831,721.78509465035,-6088.13153981612,0
14288,18,21,938,9.56717530311628,2.70926996097583,0.21,92.94247571828,524.879645291162,-22434.1212158649,0
10610,19,32,660,9.26955223160803,2.85978495880782,0.32,74.2712223708053,568.949138916434,-13387.1459095272,0
16244,33,36,640,9.69547888880619,5.24833380191629,0.36,72.8203826021473,660.335432175057,-12345.3401073868,0
12576,36,41,777,9.43954551466899,5.41853992195166,0.41,82.4415721161272,542.919562053616,-17113.3085140827,0
30597,36,45,400,10.3286572439186,5.41853992195166,0.45,53.766015803622,925.966591194784,-4352.74002764688,1
28593,19,42,183,10.2609172116057,2.85978495880782,0.42,32.1560887423818,1054.18182207398,1194.94019989855,1
20201,20,51,582,9.91348738711446,3.01029995663981,0.51,68.5108678053926,751.219779521535,-10211.062233422,0
10186,34,45,928,9.22876950744455,5.11750992628768,0.45,92.3117807873313,438.366495176746,-22498.694754977,0
6276,21,33,471,8.74448811385292,3.33984878303764,0.33,59.7724246573495,539.579227837457,-8076.95647401036,0
32864,23,23,104,10.4001331127283,3.46184495013578,0.23,21.9925998503194,1145.68655634688,3012.70521597851,1
28696,18,30,775,10.2645130192121,2.70926996097583,0.3,82.3060823387703,754.83061646042,-16018.9182926242,0
22079,36,49,556,10.0023822095103,5.41853992195166,0.49,66.52578411393,769.885854166248,-9362.02214811992,1
11898,22,54,775,9.38412559774785,3.31132995230379,0.54,82.3060823387703,544.117285065233,-17049.9442250038,0
4934,36,45,681,8.5039052970893,5.41853992195166,0.45,75.7764946104892,381.526656427716,-14854.223182566,0
13295,24,46,755,9.49514330367712,3.61235994796777,0.46,80.9436580503466,575.476848298487,-16270.3202824964,0
5157,34,27,281,8.54811029405096,5.11750992628768,0.27,42.693984673939,590.51330758976,-3048.37464594581,0
11909,34,42,355,9.385049695768,5.11750992628768,0.42,49.7482597843093,728.595275240838,-4196.54928607978,0
27894,28,25,708,10.2361668909186,4.21441993929574,0.25,77.6858017872392,766.448021065648,-13868.3269704618,1
32039,25,50,655,10.374709189709,3.49485002168009,0.5,73.910118084408,828.18528061586,-11957.7982837643,1
6876,28,38,884,8.83579236650274,4.21441993929574,0.38,89.5047007654262,375.299996699045,-21327.1293863689,1
17250,18,56,745,9.75556742245951,2.70926996097583,0.56,80.2572158059127,645.374234208508,-15631.5767334993,0
32965,22,31,57,10.4032016715474,3.31132995230379,0.31,14.5423460247437,1192.21720436435,3836.37469108432,1
11468,36,23,735,9.34731582700326,5.41853992195166,0.23,79.5672021290622,539.013305730865,-15814.0613656647,0
8062,23,23,424,8.99491694367711,3.46184495013578,0.23,55.8385354720188,615.560087350867,-6478.66428318138,0
10875,38,22,773,9.29422185595688,5.71956991761564,0.22,82.1704571600131,509.690556427186,-17142.6094247118,0
22591,38,24,945,10.0253068758572,5.71956991761564,0.24,93.3824058812068,611.949480668381,-22228.4588562004,0
27950,26,30,698,10.2381724785832,3.91338994363176,0.3,76.9819823440564,773.069874688493,-13531.8625271567,1
11410,29,21,239,9.34224544285612,4.36493493712773,0.21,38.3791643674333,791.286003147425,-1214.52147183146,1
12287,30,39,334,9.41629707186757,4.51544993495972,0.39,47.8078520554993,750.839994605187,-3578.14183120523,0
13311,17,42,656,9.49634604004702,2.55875496314384,0.42,73.9824236314627,623.759985780161,-13014.1180168018,1
5370,23,56,308,8.58858318750291,3.46184495013578,0.56,45.3405353584094,593.470852172621,-3668.82715505741,0
20390,38,52,308,9.9227998635685,5.71956991761564,0.52,45.3405353584094,876.22285393307,-2357.08930068734,1
24696,28,49,326,10.114396566182,4.21441993929574,0.49,47.0566282037308,920.965925917772,-2557.17042340907,1
7021,30,39,938,8.85666093701725,4.51544993495972,0.39,92.94247571828,357.317761520009,-23197.0455143277,0
28254,27,33,323,10.2489903194716,4.29409129247696,0.33,46.7731350958209,954.758272493684,-2312.09758949748,1
18119,28,46,552,9.80471639043611,4.21441993929574,0.46,66.2172576724302,731.919496292282,-9437.04188524155,0
24268,26,30,501,10.0969138890622,3.91338994363176,0.3,62.2053384093621,827.259670879683,-7536.9388583427,1
17062,30,22,106,9.74460904746864,4.51544993495972,0.22,22.2789296929826,979.162588088438,2151.11958143038,1
25600,27,39,249,10.1503476304677,4.29409129247696,0.39,39.4305760110757,974.786680410779,-536.333253942406,1
13367,28,31,300,9.50054426197147,4.21441993929574,0.31,44.5657793795679,791.062899370966,-2581.42451191421,0
22033,35,21,679,10.0002966084642,4.89279003035213,0.21,75.6339136450047,717.330965034986,-13232.8848219091,1
13029,17,45,346,9.47493292120293,2.55875496314384,0.45,48.9221063914038,769.307078208255,-3797.13273867931,0
30582,33,37,286,10.3281668795681,5.24833380191629,0.37,43.1910410238811,990.156124151705,-1272.03135592509,1
20745,32,56,983,9.94006053276697,4.8164799306237,0.56,95.7488132965361,583.3858813779,-23644.2846731505,0
4004,25,45,376,8.29504914043511,3.49485002168009,0.45,51.6458055804427,495.750149294062,-5755.24946795464,1
